key	value
the	518
of	266
and	220
to	178
a	156
I	150
in	124
was	98
that	92
it	80
as	76
we	68
had	66
at	64
my	62
which	59
not	51
this	45
but	42
with	42
is	41
for	40
upon	36
by	36
have	35
from	34
The	33
so	32
were	32
us	31
on	30
could	29
more	29
been	29
you	28
me	28
into	28
all	28
now	25
or	25
than	24
up	23
its	23
he	21
water	21
what	21
be	21
an	20
no	20
It	20
are	19
Moskoe	19
about	18
one	18
when	18
our	17
some	17
there	17
down	17
myself	17
out	17
made	17
very	16
only	16
great	15
whirl	15
little	14
his	14
before	14
if	14
never	13
then	13
while	13
sea	13
like	13
such	12
over	11
even	11
We	11
once	11
they	11
old	10
tell	10
can	10
In	10
Lofoden	10
two	10
between	10
time	10
moment	10
This	10
him	10
boat	10
did	10
first	10
any	9
them	9
far	9
wind	9
thought	9
see	9
round	9
most	9
their	9
thing	9
say	9
make	9
well	8
man	8
seemed	8
less	8
day	8
black	8
without	8
might	8
ocean	8
ström	8
smack	8
slack	8
brother	8
Ström	8
knew	8
way	7
depth	7
minutes	7
too	7
length	7
three	7
ever	7
these	7
whose	7
would	7
full	7
distance	7
must	7
belt	7
account	7
rocks	7
every	7
foam	7
saw	7
although	7
other	7
being	7
bottom	7
after	7
abyss	7
itself	7
will	7
above	7
felt	7
much	6
said	6
happened	6
took	6
within	6
here	6
view	6
whole	6
just	6
coast	6
mind	6
lay	6
against	6
another	6
still	6
off	6
As	6
vast	6
absorbed	6
again	6
among	6
channel	6
fact	6
thus	6
nearly	6
going	6
let	6
went	6
greater	5
six	5
look	5
beneath	5
half	5
sky	5
danger	5
fury	5
get	5
scene	5
under	5
Helseggen	5
hold	5
reach	5
high	5
five	5
nearer	5
gale	5
direction	5
Vurrgh	5
These	5
either	5
burst	5
became	5
held	5
came	5
surface	5
where	5
whirlpool	5
horror	5
weather	5
When	5
flood	5
stream	5
But	5
away	5
near	5
how	5
hurricane	5
however	5
got	5
together	5
pool	5
should	5
always	5
bolt	5
hope	5
God	4
For	4
long	4
years	4
terror	4
